Country or Area,Year,co2,hfc,methane,total_ghg,Decade,Year_Group,co2_proportion,methane_proportion,hfc_proportion,co2_yoy_change,co2_yoy_abs_change,methane_yoy_change,methane_yoy_abs_change,hfc_yoy_change,hfc_yoy_abs_change,total_ghg_yoy_change,total_ghg_yoy_abs_change,co2_cumulative,methane_cumulative,hfc_cumulative,total_ghg_cumulative,Emission_Category,Region,co2_ma3,co2_ma5,methane_ma3,methane_ma5,hfc_ma3,hfc_ma5,total_ghg_ma3,total_ghg_ma5
European Union,2021,2814421.65352554,69863.7998495205,401658.555492058,3468394.08466801,2020,2020s,0.8114480606360891,0.11580533978753577,0.020142982067220244,6.66575882461089,175878.89665709017,-0.9885459086418802,-4010.2221035590046,-4.109478579489744,-2994.078921568507,5.088087447578293,167930.47465306008,110535539.50223204,16170187.961165128,1847768.1484453545,136094099.7295925,Very High,Other,2788927.574838027,2910317.327514876,405716.81502280035,412391.965421399,73662.80957459484,77897.0162992462,3452372.4334986266,3587510.0466087637
Finland,2021,37947.1785577641,837.600327970633,4819.21681748269,47799.4903537935,2020,2020s,0.793882492823535,0.1008215104766326,0.0175232062469921,0.5618722749343608,212.02337487610203,-2.403790858232291,-118.69712391058965,-7.330618275514689,-66.25843571562598,0.09047896083769214,43.209386753704166,1791494.2280451078,213232.52809986676,26040.20792855551,2182817.8703668667,High,Other,39378.69349992729,41704.03124673956,4933.022385476557,5015.098836613346,903.4660480415137,957.7945346520062,49427.284941074635,51852.4757171566
France,2021,320908.304722352,9984.61884008818,62196.306195502,420060.755936269,2020,2020s,0.7639568804924013,0.14806502468166374,0.02376946358112785,8.343624444884723,24713.39120845101,-2.474389364463414,-1578.0252751679,-11.49328078449624,-1296.5798401801203,5.464194673079326,21763.725139813032,12403569.09189763,2371209.9976932253,333451.2888681911,16417974.702946048,Very High,Europe & Central Asia,316276.196838696,327961.3452226322,63650.091778784794,64404.36874382929,11308.383159045125,12900.474157875116,418668.1377594107,433667.3145984146
Germany,2021,678798.872187656,8069.17819431842,45687.7487317312,760358.008057834,2020,2020s,0.8927358757245121,0.060087154008452444,0.010612340645861477,4.873916661909483,31546.53929733904,-2.8982354528340637,-1363.6606270956036,-2.26668786053863,-187.14507732517086,4.02714532344155,29435.31889461004,27580661.93724881,2574745.130496488,222550.01452172722,31729370.71486982,Very High,Europe & Central Asia,677847.5233559447,714867.9118258053,47000.197427416024,49087.424872782096,8356.289819364072,8973.668731080399,761971.455387666,802733.6669214404
Greece,2021,57556.3286034507,4675.44563258827,11323.4215669907,77488.8283274189,2020,2020s,0.7427693752221154,0.1461297300708312,0.060337028362756846,3.4817811858068204,1936.5586846227961,3.3248038463124185,364.3670655823007,-2.9239744238799603,-140.82656730945018,2.682508116045468,2024.3409973609087,2892564.939105224,394284.3392236682,130223.71227379976,3588400.045844,Very High,Other,59645.19295723803,65111.98486678908,11164.336606380302,11256.02011364278,4876.265800463064,5198.932979085056,79702.1960483781,85614.805189686
Hungary,2021,48563.8563289726,1862.46001758178,9206.95476478559,64217.8413850294,2020,2020s,0.7562361998093244,0.14337066718863484,0.029002220837898805,2.595067485847413,1228.3873643737024,-0.0012883544367014998,-0.11861973843952,0.7451172368952097,13.774871678049976,1.9892286389947778,1252.5241235983049,1802729.2448271462,340390.96824673464,27332.771854937422,2318596.3617585176,High,Other,48403.27026347423,48864.90928639576,9211.27017190763,9260.31255642846,1844.71843658402,1812.253893637894,63984.98221139536,64412.268253478585
Iceland,2021,3510.05069048688,157.248161796444,654.079269297736,4662.23951496099,2020,2020s,0.7528679466645225,0.14029293587316027,0.033728031623394564,5.105165921280963,170.49010873987982,0.3328152178453392,2.169654404960056,-19.61222768306612,-38.36387877171998,3.122725017268735,141.18024875147057,98778.85990703094,23282.059349522526,2638.371425741309,137774.52426490118,Medium,Other,3469.4506664554865,3537.899884026844,646.1284413720514,662.0499700115174,184.16704350533402,182.2970132521142,4635.732286738313,4715.462006339612
Ireland,2021,37547.2849970332,672.987866283893,17649.700240153,62109.8692380655,2020,2020s,0.60453009252226,0.28416901301952774,0.010835441686478976,6.8999127962474205,2423.5098555147997,2.0991146126310367,362.87037182670247,7.83706026576525,48.90940510801397,5.170606036927294,3053.568643717299,1287088.8567870327,529558.1125461279,18742.94601267719,2037345.4547127774,High,Other,36665.604065318534,37617.5292612817,17326.528621654536,17340.01330354292,689.6974631059117,789.4631736572057,60777.06948466919,61897.97030140192
Italy,2021,337229.883985225,15387.7747729177,47087.0541894855,417591.433598601,2020,2020s,0.8075593914346876,0.11275866888291275,0.03684887556316302,11.193771413173682,33948.61229227501,-0.8973364196204425,-426.3551259911037,-4.036629984068751,-647.2756534721993,8.473794618240781,32621.55670966301,13644752.155959658,1710799.108795631,281897.3686528897,16408905.025135236,Very High,Europe & Central Asia,326971.225971982,336831.83391594875,47120.928863423534,47623.837726757076,16147.401237943233,16376.75991812234,408279.1611586309,419161.87385752395
Japan,2021,1062129.23506539,53561.038045285,27361.3633177281,1168094.46547519,2020,2020s,0.9092836807794543,0.023423930278273584,0.04585334459529003,2.1478578796089165,22333.338104719878,-0.0676643806220234,-18.526432814698637,2.5871485355879686,1350.7575083379998,2.022998608254234,23161.968479669886,39025339.72740229,1100072.232223307,860652.8266925743,42321016.20480531,Very High,Asia-Pacific,1068821.65096444,1106987.219478482,27408.3784274153,27585.8636794736,51913.10870203513,49556.56420579176,1173589.7929868866,1210044.269852618
