Country or Area,Year,co2,hfc,methane,total_ghg,Decade,Year_Group,co2_proportion,methane_proportion,hfc_proportion,co2_yoy_change,co2_yoy_abs_change,methane_yoy_change,methane_yoy_abs_change,hfc_yoy_change,hfc_yoy_abs_change,total_ghg_yoy_change,total_ghg_yoy_abs_change,co2_cumulative,methane_cumulative,hfc_cumulative,total_ghg_cumulative,Emission_Category,Region,co2_ma3,co2_ma5,methane_ma3,methane_ma5,hfc_ma3,hfc_ma5,total_ghg_ma3,total_ghg_ma5
Cyprus,2016,7373.66968766224,267.016369528783,980.386395049634,8790.12251939741,2010,2010s,0.8388585792053019,0.11153273380276417,0.03037686550324532,5.76762450442545,402.0942909266196,2.442425063757292,23.374303194653976,8.255390134845664,20.362259099564994,5.355824063800219,446.8509466038795,188310.6916034223,25098.527813367407,3065.7736289249465,221450.90630482763,Medium,Other,7098.681747822294,7028.284727792105,962.2573553812023,959.6626620268942,248.95023436602636,238.7396272739696,8476.10312262156,8394.64572901633
Cyprus,2017,7503.81197016124,287.912005880538,999.058541839055,8966.06743170521,2010,2010s,0.8369122837094399,0.1114266147838963,0.03211129160845286,1.7649594843766492,130.14228249900043,1.9045701657738556,18.67214678942105,7.825601250077119,20.895636351755,2.0016207045981282,175.94491230780113,195814.50357358356,26097.586355206462,3353.685634805485,230416.97373653285,Medium,Other,7283.019018186366,7076.49315477066,978.819009581223,966.8465609610164,267.1941619461797,252.08723092209237,8699.820507965384,8462.922355828012
Cyprus,2018,7321.71997776382,308.052119909632,1013.25106964142,8821.19568151655,2010,2010s,0.8300144608633215,0.11486550193694611,0.03492181003932466,-2.426659851306323,-182.09199239742065,1.4205902064797549,14.19252780236502,6.995232438292498,20.14011402909398,-1.6157780575726477,-144.87175018866037,203136.2235513474,27110.837424847883,3661.737754715117,239238.1694180494,Medium,Other,7399.7338785290995,7224.315438278388,997.5653355100363,979.8163355248164,287.66016510631766,268.56296577764977,8859.12854420639,8643.114496217288
Cyprus,2019,7342.33557177885,332.265374089774,1034.05336443387,8891.61875255438,2010,2010s,0.8257591532103812,0.11629528809214945,0.037368378395027456,0.281567638172997,20.615594015030183,2.0530247058916817,20.80229479244997,7.860116069723877,24.21325418014203,0.798339290731187,70.42307103782878,210478.55912312624,28144.89078928175,3994.003128804891,248129.78817060377,Medium,Other,7389.289173234637,7302.622520820354,1015.4543253047817,996.7522925637917,309.40983329331465,288.379995967589,8892.96062192538,8762.455191593417
Cyprus,2020,6910.90840225632,335.683897225151,1064.83267345146,8502.85742775089,2020,2020s,0.8127748184629199,0.1252323330714862,0.03947895164389972,-5.875884659654784,-431.42716952252977,2.976568722296191,30.779309017590094,1.0288532606630652,3.4185231353769723,-4.372222152370231,-388.7613248034886,217389.46752538256,29209.72346273321,4329.687026030042,256632.64559835466,Medium,Other,7191.654650599663,7290.489121924495,1037.37903584225,1018.3164088830878,325.3337970748523,306.1859533267756,8738.557287273941,8794.372362584889
Cyprus,2021,7029.35785855711,353.487646622074,1097.40095763803,8670.01523813342,2020,2020s,0.81076649411639,0.1265742824546974,0.040771283199979344,1.7139491569895249,118.44945630079019,3.0585353923265446,32.56828418656983,5.303724588546954,17.803749396923024,1.9659016019364595,167.15781038252862,224418.82538393966,30307.12442037124,4683.174672652116,265302.66083648807,Medium,Other,7094.200610864093,7221.626756103467,1065.4289985077867,1041.719321400767,340.4789726456664,323.4802087454338,8688.163806146229,8770.35090633209
Czechia,1990,164250.436011005,0.0,26813.5709678121,198775.27153182,1990,1990s,0.8263122205556225,0.13489389681713893,0.0,,,,,,,,,164250.436011005,26813.5709678121,0.0,198775.27153182,Very High,Other,164250.436011005,164250.436011005,26813.5709678121,26813.5709678121,0.0,0.0,198775.27153182,198775.27153182
Czechia,1991,148883.273374256,0.0,25429.833263468,180859.665428429,1990,1990s,0.8231977706116741,0.14060533178156998,0.0,-9.355934151504696,-15367.16263674898,-5.160587174327436,-1383.7377043440974,,0.0,-9.012995412018876,-17915.60610339101,313133.709385261,52243.4042312801,0.0,379634.936960249,Very High,Other,156566.8546926305,156566.8546926305,26121.70211564005,26121.70211564005,0.0,0.0,189817.4684801245,189817.4684801245
Czechia,1992,145705.799291904,0.0,23474.5515419247,175034.846138206,1990,1990s,0.8324388115087437,0.13411358972138265,0.0,-2.13420487764574,-3177.4740823520115,-7.688928595344835,-1955.2817215433024,,0.0,-3.2206292522022006,-5824.819290223008,458839.508677165,75717.9557732048,0.0,554669.783098455,Very High,Other,152946.50289238835,152946.50289238835,25239.318591068266,25239.318591068266,0.0,0.0,184889.927699485,184889.927699485
Czechia,1993,140124.036575061,0.0,22927.4484994037,168323.668681759,1990,1990s,0.8324678143748542,0.13621048471056948,0.0,-3.8308445813200587,-5581.76271684299,-2.330621914305331,-547.1030425209974,,0.0,-3.834195078589031,-6711.1774564469815,598963.5452522261,98645.4042726085,0.0,722993.451780214,Very High,Other,144904.36974707368,149740.88631305652,23943.94443493213,24661.351068152126,0.0,0.0,174739.39341613135,180748.3629450535
