Country or Area,Year,Value,Gas_Type
Cyprus,1996,6211.88783128855,co2
Cyprus,1995,5861.93312399187,co2
Cyprus,1994,5991.49267633179,co2
Cyprus,1993,5749.29995864898,co2
Cyprus,1992,5505.65586361504,co2
Cyprus,1991,5133.20507168247,co2
Cyprus,1990,4644.86054344449,co2
Czechia,2021,96665.2253266532,co2
Czechia,2020,91697.3634303087,co2
Czechia,2019,101032.686316781,co2
Czechia,2018,106358.385544829,co2
Czechia,2017,107776.570566776,co2
Czechia,2016,106680.870730177,co2
Czechia,2015,105022.271628204,co2
Czechia,2014,104256.198495021,co2
Czechia,2013,106732.695641486,co2
Czechia,2012,111298.443406065,co2
Czechia,2011,115201.992170659,co2
Czechia,2010,117490.709097739,co2
Czechia,2009,114999.011500455,co2
Czechia,2008,122951.000833981,co2
Czechia,2007,128382.08761628,co2
Czechia,2006,126555.141040827,co2
Czechia,2005,125690.736604182,co2
Czechia,2004,128291.627781624,co2
Czechia,2003,127571.696721971,co2
Czechia,2002,123969.963358599,co2
Czechia,2001,127144.369367362,co2
Czechia,2000,127235.987122808,co2
Czechia,1999,116671.891350075,co2
Czechia,1998,125608.818384632,co2
Czechia,1997,130941.620504211,co2
Czechia,1996,135018.671764886,co2
Czechia,1995,131622.223358033,co2
Czechia,1994,132668.035665436,co2
Czechia,1993,140124.036575061,co2
Czechia,1992,145705.799291904,co2
Czechia,1991,148883.273374256,co2
Czechia,1990,164250.436011005,co2
Denmark,2021,31306.3495818155,co2
Denmark,2020,29965.916682094,co2
Denmark,2019,32595.7484664675,co2
Denmark,2018,36200.5718494376,co2
Denmark,2017,36158.8595353481,co2
Denmark,2016,38231.8487604729,co2
Denmark,2015,36426.2444451891,co2
Denmark,2014,38913.8016806193,co2
Denmark,2013,43115.7290043674,co2
Denmark,2012,41258.3457768704,co2
Denmark,2011,45693.7795454647,co2
Denmark,2010,50717.5074552305,co2
Denmark,2009,50217.1361157804,co2
Denmark,2008,52675.6183975907,co2
Denmark,2007,56170.9679765627,co2
Denmark,2006,60943.9624392606,co2
Denmark,2005,52974.0057819259,co2
Denmark,2004,56536.4406772822,co2
Denmark,2003,62090.0811932655,co2
Denmark,2002,56924.5833175696,co2
Denmark,2001,57356.1675893904,co2
Denmark,2000,55641.4351909651,co2
Denmark,1999,59878.0891513257,co2
Denmark,1998,62436.4397287566,co2
Denmark,1997,66612.8649856302,co2
Denmark,1996,76058.193994269,co2
Denmark,1995,62729.0072666296,co2
Denmark,1994,65704.4892791831,co2
Denmark,1993,61649.8253120355,co2
Denmark,1992,59562.4826445282,co2
Denmark,1991,65364.9481987375,co2
Denmark,1990,54771.3956998079,co2
Estonia,2021,10419.9178953988,co2
Estonia,2020,9238.88140776404,co2
Estonia,2019,12323.98295408,co2
Estonia,2018,17884.8354823724,co2
Estonia,2017,18738.3832008365,co2
Estonia,2016,17489.1738265757,co2
Estonia,2015,15823.9978316599,co2
Estonia,2014,18828.277060776,co2
Estonia,2013,19660.4203374146,co2
Estonia,2012,17771.7825803327,co2
Estonia,2011,18956.3554133068,co2
Estonia,2010,18975.4477634206,co2
Estonia,2009,14417.0505686661,co2
Estonia,2008,17822.3801088557,co2
Estonia,2007,19942.0799139005,co2
Estonia,2006,16444.9151228602,co2
Estonia,2005,17096.8092125639,co2
Estonia,2004,17327.4572306405,co2
Estonia,2003,17263.5826472358,co2
Estonia,2002,15370.4024483968,co2
Estonia,2001,15882.0951825074,co2
Estonia,2000,15481.7246134727,co2
Estonia,1999,15937.9877205623,co2
Estonia,1998,16940.74606132,co2
Estonia,1997,18682.8819238202,co2
Estonia,1996,19043.0786758168,co2
Estonia,1995,18061.3190788745,co2
Estonia,1994,20045.0860811687,co2
Estonia,1993,19438.7466744082,co2
Estonia,1992,24421.0375340549,co2
Estonia,1991,34147.1620631506,co2
Estonia,1990,36919.6062079986,co2
European Union,2021,2814421.65352554,co2
European Union,2020,2638542.75686845,co2
European Union,2019,2913818.31412009,co2
European Union,2018,3055628.89632229,co2
European Union,2017,3129175.01673801,co2
European Union,2016,3107560.21381696,co2
European Union,2015,3102075.75343376,co2
European Union,2014,3050653.3091367,co2
European Union,2013,3187657.88668937,co2
European Union,2012,3267742.37653258,co2
European Union,2011,3340208.76062067,co2
European Union,2010,3440712.98719404,co2
European Union,2009,3339658.63260976,co2
European Union,2008,3633032.16394865,co2
European Union,2007,3716683.39202695,co2
European Union,2006,3752621.31315045,co2
European Union,2005,3742850.94156103,co2
European Union,2004,3761613.6797614,co2
European Union,2003,3750173.79598925,co2
European Union,2002,3665762.53459375,co2
European Union,2001,3664990.1787875,co2
European Union,2000,3607844.11457135,co2
European Union,1999,3596459.80461362,co2
European Union,1998,3651592.59513635,co2
European Union,1997,3660964.05409552,co2
European Union,1996,3727043.41163494,co2
European Union,1995,3642022.64583551,co2
European Union,1994,3595411.69797599,co2
European Union,1993,3614210.87794697,co2
European Union,1992,3682599.38614028,co2
European Union,1991,3808218.1432339,co2
European Union,1990,3873588.21362042,co2
Finland,2021,37947.1785577641,co2
Finland,2020,37735.155182888,co2
Finland,2019,42453.7467591298,co2
Finland,2018,45730.1013094859,co2
Finland,2017,44653.97442443,co2
Finland,2016,47247.9993008968,co2
Finland,2015,44185.6712766093,co2
Finland,2014,47619.2576866718,co2
Finland,2013,51715.5845341063,co2
Finland,2012,51146.3149183475,co2
Finland,2011,56638.0534757235,co2
Finland,2010,64081.0066496962,co2
Finland,2009,55905.3319312222,co2
Finland,2008,58621.3078059506,co2
Finland,2007,66760.2434562335,co2
Finland,2006,68370.6841829837,co2
Finland,2005,57047.3125109689,co2
Finland,2004,68939.1068574165,co2
Finland,2003,72654.3202277637,co2
Finland,2002,65040.9663269036,co2
Finland,2001,62513.7328652532,co2
Finland,2000,57009.919492233,co2
Finland,1999,58866.894347879,co2
